Date,Buy Button Clicks
20240528,154
20240529,684
20240530,627
20240531,543
20240601,656
20240602,821
20240603,776
20240604,733
20240605,642
20240606,604
20240607,593
20240608,752
20240609,1408
20240610,2297
20240611,1347
20240612,1738
20240613,1223
20240614,1305
20240615,1605
20240616,1775
20240617,2142
20240618,2408
20240619,1274
20240620,1136
20240621,1056
20240622,1375
20240623,978
20240624,1239
20240625,1651
20240626,1321
20240627,1243
20240628,1419
20240629,1317
20240630,1038
20240701,1156
20240702,1108
20240703,1133
20240704,917
20240705,1371
20240706,1250
20240707,1277
20240708,1341
20240709,1020
20240710,1180
20240711,1253
20240712,924
20240713,731
20240714,926
20240715,1327
20240716,1174
20240717,1100
20240718,892
20240719,919
20240720,851
20240721,772
20240722,783
20240723,717
20240724,1019
20240725,1424
20240726,957
20240727,946
20240728,1212
20240729,1175
20240730,1306
20240731,1152
20240801,1203
20240802,1204
20240803,1185
20240804,898
20240805,1321
20240806,1144
20240807,1297
20240808,1114
20240809,917
20240810,843
20240811,1133
20240812,1111
20240813,1181
20240814,973
20240815,853
20240816,1004
20240817,858
20240818,1057
20240819,824
20240820,978
20240821,886
20240822,955
20240823,778
20240824,894
20240825,716
20240826,1330
20240827,955
20240828,940
20240829,842
20240830,838
20240831,842
20240901,725
20240902,994
20240903,919
20240904,928
20240905,1526
20240906,917
20240907,772
20240908,818
20240909,901
20240910,895
20240911,814
20240912,900
20240913,839
20240914,856
20240915,784
20240916,854
20240917,764
20240918,927
20240919,672
20240920,948
20240921,1290
20240922,1221
20240923,1500
20240924,1696
20240925,1294
20240926,1053
20240927,1215
20240928,1038
20240929,1318
20240930,1931
20241001,1119
20241002,841
20241003,958
20241004,857
20241005,1123
20241006,1138
20241007,1097
20241008,621
20241009,1010
20241010,842
20241011,921
20241012,832
20241013,1089
20241014,1128
20241015,1085
20241016,915
20241017,889
20241018,975
20241019,1074
20241020,1020
20241021,901
20241022,730
20241023,717
20241024,857
20241025,844
20241026,822
20241027,1027
20241028,1103
20241029,887
20241030,750
20241031,683
20241101,732
20241102,541
20241103,746
20241104,723
20241105,665
20241106,712
20241107,698
20241108,1001
20241109,874
20241110,1162
20241111,1365
20241112,931
20241113,1267
20241114,1062
20241115,837
20241116,719
20241117,812
20241118,971
20241119,852
20241120,767
20241121,420
20241122,633
20241123,485
20241124,595
20241125,764
20241126,504
20241127,642
20241128,698
20241129,951
20241130,642
20241201,570
20241202,621
20241203,426
20241204,389
20241205,339
20241206,418
20241207,273
20241208,338
20241209,437
20241210,406
20241211,518
20241212,419
20241213,305
20241214,525
20241215,410
20241216,5224
20241217,1854
20241218,1296
20241219,1273
20241220,1247
20241221,872
20241222,891
20241223,969
20241224,806
20241225,1005
20241226,1574
20241227,1136
20241228,1190
20241229,981
20241230,1127
20241231,937
20250101,992
20250102,928
20250103,885
20250104,1169
20250105,1124
20250106,1040
20250107,968
20250108,1201
20250109,908
20250110,926
20250111,1060
20250112,839
20250113,866
20250114,1034
20250115,1134
20250116,449
