Date,Search Queries
20240529,644
20240530,1191
20240531,1162
20240601,980
20240602,1224
20240603,1174
20240604,1137
20240605,1133
20240606,1013
20240607,1098
20240608,1273
20240609,1782
20240610,1935
20240611,1359
20240612,1827
20240613,1718
20240614,1493
20240615,1593
20240616,1840
20240617,1613
20240618,1698
20240619,1417
20240620,1493
20240621,1373
20240622,1326
20240623,1203
20240624,1570
20240625,1519
20240626,1678
20240627,1475
20240628,1412
20240629,1398
20240630,1127
20240701,1544
20240702,1240
20240703,1379
20240704,1395
20240705,1537
20240706,2089
20240707,1598
20240708,1478
20240709,1316
20240710,1516
20240711,1834
20240712,1263
20240713,1003
20240714,1222
20240715,1447
20240716,1174
20240717,1469
20240718,2014
20240719,1607
20240720,1809
20240721,1770
20240722,1669
20240723,1614
20240724,1820
20240725,2142
20240726,2010
20240727,1700
20240728,2366
20240729,2280
20240730,2091
20240731,2093
20240801,1791
20240802,2105
20240803,1672
20240804,1846
20240805,2065
20240806,2329
20240807,2415
20240808,2248
20240809,2050
20240810,2427
20240811,1957
20240812,1997
20240813,1967
20240814,1538
20240815,1589
20240816,1537
20240817,1377
20240818,1365
20240819,1410
20240820,1204
20240821,1314
20240822,1820
20240823,1154
20240824,1287
20240825,1117
20240826,1258
20240827,1171
20240828,1439
20240829,1311
20240830,1124
20240831,1068
20240901,1346
20240902,1309
20240903,1031
20240904,1017
20240905,1196
20240906,1254
20240907,907
20240908,989
20240909,1476
20240910,1087
20240911,928
20240912,1052
20240913,1047
20240914,1001
20240915,862
20240916,975
20240917,980
20240918,1096
20240919,1326
20240920,1298
20240921,1245
20240922,1377
20240923,1690
20240924,1577
20240925,1571
20240926,1434
20240927,1470
20240928,1649
20240929,1119
20240930,628
20241001,82
20241002,29
20241003,17
20241004,32
20241005,27
20241006,19
20241007,24
20241008,41
20241009,41
20241010,17
20241011,9
20241012,4
20241013,3
20241014,12
20241015,21
20241016,3
20241017,15
20241018,5
20241019,11
20241020,9
20241021,13
20241022,17
20241023,355
20241024,1444
20241025,1263
20241026,1040
20241027,1346
20241028,1308
20241029,1298
20241030,1172
20241031,1208
20241101,1301
20241102,1241
20241103,1330
20241104,1287
20241105,1612
20241106,1292
20241107,1416
20241108,1877
20241109,1722
20241110,1916
20241111,1897
20241112,1408
20241113,1774
20241114,1628
20241115,1332
20241116,1197
20241117,1239
20241118,1487
20241119,1255
20241120,1330
20241121,1421
20241122,1206
20241123,1026
20241124,1106
20241125,1225
20241126,984
20241127,1033
20241128,1014
20241129,1500
20241130,1070
20241201,1107
20241202,1079
20241203,1015
20241204,852
20241205,937
20241206,883
20241207,756
20241208,906
20241209,918
20241210,832
20241211,987
20241212,850
20241213,822
20241214,1143
20241215,997
20241216,2422
20241217,1983
20241218,1805
20241219,1866
20241220,1741
20241221,1495
20241222,1311
20241223,1811
20241224,1268
20241225,1798
20241226,2609
20241227,1979
20241228,1908
20241229,1961
20241230,1921
20241231,1792
20250101,1949
20250102,1928
20250103,1965
20250104,1916
20250105,1947
20250106,1858
20250107,1823
20250108,1995
20250109,1837
20250110,2397
20250111,1992
20250112,1928
20250113,2016
20250114,1991
20250115,2187
20250116,988
